Cutthroat1;Bartuc's Cut-Throat
eskillincasemasteryX;%d Percent Chance of Critical Strike
CfgSay7X;Say 'Retreat'
champghostlyX;Ghostly
champfanaticX;Fanatic
champpossessedX;Possessed
champberserkX;Berserker
PalMercExST1X;Defensive
PalMercEXST3X;Offensive
PalMercEXST4X;Combat
increaseswithplaylevelX;(Based on Character Level)
RankX;Rank
x;Enter a valid email address.
x;Entering your email address will enable extra features, such as the ability to recover your account should you forget your password. Visit www.battle.net/email-address for more information.
x;Email Address:
x;Verify Email Address:
x;REGISTER
x;DON'T REGISTER
x;Please make sure that the two email addresses match.
x;Invalid Email Address
x;The email address you entered does not appear to be valid.  Please enter a valid email address.
x;Without a registered email address, you will not be able to recover your account should you forget your password. You will not have another opportunity to register an email address with this account.
x;If you have forgotten your password and you registered your email address with us for this account, you can request that a new password be sent to you by clicking Send.  Make sure to enter the email address that you registered for this account.
x;Your request for a new password has been received. If you registered an email address for this account you will receive an email with instructions on how to complete your password change.
x;CONTINUE
x;Forgot your password? Click 'Account Settings'.
x;The password you entered is incorrect.  You can get a new password by clicking 'Account Settings'.
x;ACCOUNT SETTINGS
x;Account Settings
x;If you know your password and want to change it, click here.
x;If you have forgotten your password or your password doesn't work, click here.
x;If you need to change your registered email address, click here.
x;GET NEW PASSWORD
x;Get New Password
x;CHANGE EMAIL
x;Change Email
x;Old Email Address:
x;New Email Address:
x;Verify New Email Address:
x;If you registered an email address for this account then you can change it here. Note that both email addresses need to be active for you to make this change.
x;The old and new email addresses you have entered are the same.  Please enter a different email address.
x;Please make sure that the two new email addresses match.
x;Battle.net News Updates
x;Last Difficulty Setting Completed:
x;None
x;ENTER CHAT
x;PLEASE WRITE DOWN YOUR PASSWORD.
x;Unsafe Password
x;The password you've chosen is unsafe. Please choose a new one.
x;CDKEY WARNING
x;You cannot send your cdkey to another user on Battle.net. Blizzard will never ask you for your cdkey for any reason.
x;Expires Today
x;Expires in %d days
x;Character Expired
x;
x;
x;
x;
x;
x;
x;
x;
x;A Diablo II character must be played in a game, or it will eventually expire. When you first create a character, it expires 10 days after the last time it was played. Once that character has been played for two hours or more, it will not expire until three months from the time it was last played.
x;A character that expires is deleted from the realm.
x;The character '%s' has not been used enough and has expired.
pk1;Key of Terror
pk2;Key of Hate
pk3;Key of Destruction
dhn;Diablo's Horn
bey;Baal's Eye
mbr;Mephisto's Brain
std;"\gold;Standard of Heroes"
Hellfire Torch;Hellfire Torch
Lilith;Lilith
Pandemonium Run 1;Matron's Den
Pandemonium Run 2;Forgotten Sands
Pandemonium Run 3;Furnace of Pain
ModStre8b;to Assassin Skills
skillld146;enemies defense rating and physical damage resistance\nfearsome cry that decreases
skillld65;by piercing enemies' resistances to cold\npassive - increases the damage of your cold attacks
x;The CD-Key you are currently using is disabled from playing realm games. You may continue playing the game in Single Player and Open Battle.net.
x;Your connection has been temporarily restricted from this realm. Please try to log in at another time.
toa;Right-click to reset Stat/Skill Points\nToken of Absolution
tes;Twisted Essence of Suffering
ceh;Charged Essence of Hatred
bet;Burning Essence of Terror
fed;Festering Essence of Destruction
respec;Reset Stat/Skill Points
x;Persistent ignoring is now enabled.
x;Persistent ignoring is now disabled.
x;%s has been ignored.
x;Unable to ignore %s
x;%s has been unignored.
x;%s is not currently ignored.
x;Message filter added.
x;Unable to add message filter.
x;Message filter removed.
x;Unable to remove message filter.
StartIndexBlock;(DontTranslate) These are hardcoded indexes and should not be moved. Only add to the end of this block
Bnet_AccountExists;Login to www.projectdiablo2.com and go to Account -> Manage PD2 Account to create an in-game account.
Bnet_CreateGameDesc;Description (Optional)
VerifyTransaction9_PD2;Your Mercenary will be replaced. Their equipment will be dropped.
Charmdes_PD2;Active in Charm Inventory
Bnet_Bad16DigitKey_Title;Legacy CD Keys Disabled
Bnet_Bad16DigitKey_Desc1;The game was installed using legacy 16-digit CD keys.
Bnet_Bad16DigitKey_Desc2;Please log into your Battle.net account or visit battle.net/account/management/claim-code.html to redeem your 16-digit CD keys. And then visit battle.net/support/article/13867 to download and reinstall the game using your new 26-digit keys
EndIndexBlock;(DontTranslate)==================================================
LabelMiscStart;(DontTranslate)==================================================
stdDesc;+20% Magic and Gold Find\n+20% Monster Density\n+10% Experience\nCube with a map to add Heroic bonuses
wss;"\purple;Worldstone Shard\white;"
wssDesc;to corrupt it unpredictably\nCube with a map or an item
imma;"\gold;Arcane Orb"
immaDesc;"to upgrade it to a \blue;Magic Map\grey;\nCube with a Normal Map and a jewel"
imrn;"\gold;Demonic Cube"
imrnDesc;
imra;"\gold;Zakarum Orb"
imraDesc;"Rune to upgrade it to a \yellow;Rare Map\grey;\nCube with a Normal Map, a jewel, and a"
rera;"\gold;Horadrim Orb"
reraDesc;"Rune to reroll its affixes\nCube with a \yellow;Rare Map\grey;, a Perfect Gem, and a"
upma;"\gold;Angelic Orb"
upmaDesc;"Rune higher to upgrade it to a \yellow;Rare Map\grey;\nCube with a \blue;Magic Map\grey;, a Perfect Skull, and a"
irma;"\gold;Infused Arcane Orb"
irmaDesc;"to upgrade it to a \blue;Magic Map\grey;\nCube with a Normal Map"
irrn;"\gold;Infused Demonic Cube"
irrnDesc;
irra;"\gold;Infused Zakarum Orb"
irraDesc;"to upgrade it to a \yellow;Rare Map\grey;\nCube with a Normal Map"
rrra;"\gold;Infused Horadrim Orb"
rrraDesc;"to reroll its affixes\nCube with a \yellow;Rare Map\grey;"
urma;"\gold;Infused Angelic Orb"
urmaDesc;"to upgrade it to a \yellow;Rare Map\grey;\nCube with a \blue;Magic Map\grey;"
scou;"\gold;Orb of Destruction"
scouDesc;"to downgrade it to a Normal Map\nCube with a \blue;Magic Map\grey; or \yellow;Rare Map\grey;"
upmp;"\gold;Cartographer's Orb"
upmpDesc;to create 1 map of the next tier\nCube with 3 maps of the same tier
fort;"\gold;Orb of Fortification"
fortDesc;Monsters grant 2x experience and drop 2x loot\nMonsters have 2x health and deal 20% more damage\nBase monster density is reduced by half\nCube with a map to fortify it
scrb;"\gold;Horadrim Scarab"
scrbDesc;"\red;Dangerous Group Content\n\grey;Cube with a Tier 3 map to create a Dungeon"
iwss;"\purple;Catalyst Shard\white;"
iwssDesc;to add a random event to it\nCube with a map
lbox;"\gold;Larzuk's Puzzlebox"
lboxDesc;Cube with an item to add sockets
lpp;"\gold;Larzuk's Puzzlepiece"
lppDesc;"\red;Does not work with uniques and sets\n\grey;Cube with an item to add sockets"
lmal;Larzuk's Malus
lmalDesc;Adds one socket to an item
ubtm;"\orange;Pandemonium Talisman"
UberTristDesc;Use at the blood fountain in Harrogath
dcma;"\orange;Vision of Terror"
DCloneDesc;"\grey;Cube to cycle difficulty tiers\n\grey;Use at the blood fountain in Harrogath"
dcho;"\orange;Black Soulstone"
dcbl;"\orange;Pure Demonic Essence"
dcso;"\orange;Prime Evil Soul"
dcxxDesc;One of the three souls of Terror
cwss;"\purple;Tainted Worldstone Shard\white;"
cwssDesc;to corrupt it unpredictably\nCube with Annihilus
rtmo;"\orange;Trang-Oul's Jawbone"
rtmv;"\orange;Splinter of the Void"
rtmxDesc;One of the three fragments of the Void
rtma;"\orange;Voidstone"
rtmaDesc;"\grey;Cube to cycle difficulty tiers\n\grey;Use at the blood fountain in Harrogath"
rrbk;"\gold;Horadric Almanac"
rbbk;"\gold;Horadric Navigator"
UnlimitedTPBook;"Unlimited quantity\n\gold;Tome of Town Portal"
UnlimitedTPSkillName;Create Townportal
UnlimitedTPSkillDesc;Creates a magic portal to the nearest town
UnlimitedTPSkillAlt;Town Portal
UnlimitedIDBook;"Unlimited quantity\nIdentifies all items at once\n\gold;Tome of Identify"
UnlimitedIDSkillName;Identify All
UnlimitedIDSkillDesc;Identify all magic items' properties
UnlimitedIDSkillAlt;Identify All
UnlimitedQuantity;Unlimited Quantity
rtmf;"\orange;Ancient Bone Fragments"
llmr;"\purple;Lilith's Mirror"
llmrDesc;Cube with an item to permanently mirror it
lsvl;"\purple;Vial of Lightsong"
lsvlDesc;Cube with an item to make it ethereal
uba;"\orange;Relic of the Ancients"
ubaDesc;Use at the blood fountain in Harrogath
ubaa;"\orange;Sigil of Madawc"
ubab;"\orange;Sigil of Talic"
ubac;"\orange;Sigil of Korlic"
ubaxDesc;One of the three sigils of the Ancients
rkey;"\gold;Skeleton Key"
rkeyDesc;Unlimited use
pvpp;Dueling Mana Potion
PvpPotionDesc;Only effective in duel arenas
cm2f;Hellfire Ashes
cm2fDesc;but can still be used for crafting.\nNo longer holds magical properties,
cps;Chilling Potion
cpm;Frost Potion
cpl;Freezing Potion
lps;Charged Potion
lpm;Static Potion
lpl;Shock Potion
TPotDescFireS;"Enemy fire resistances:\red; -3%\grey;"
TPotDescFireM;"Enemy fire resistances:\red; -6%\grey;"
TPotDescFireL;"Enemy fire resistances:\red; -10%\grey;"
TPotDescPoisonS;"Enemy poison resistances:\green; -3%\grey;"
TPotDescPoisonM;"Enemy poison resistances:\green; -6%\grey;"
TPotDescPoisonL;"Enemy poison resistances:\green; -10%\grey;"
TPotDescColdS;"Enemy cold resistances:\blue; -3%\grey;"
TPotDescColdM;"Enemy cold resistances:\blue; -6%\grey;"
TPotDescColdL;"Enemy cold resistances:\blue; -10%\grey;"
TPotDescLightningS;"Enemy lightning resistances:\yellow; -3%\grey;"
TPotDescLightningM;"Enemy lightning resistances:\yellow; -6%\grey;"
TPotDescLightningL;"Enemy lightning resistances:\yellow; -10%\grey;"
crfh;"\gold;Hitpower Craft Infusion"
crfhDesc;Cube with a magic or rare item to craft
crfb;"\gold;Blood Craft Infusion"
crfbDesc;Cube with a magic or rare item to craft
crfc;"\gold;Caster Craft Infusion"
crfcDesc;Cube with a magic or rare item to craft
crfs;"\gold;Safety Craft Infusion"
crfsDesc;Cube with a magic or rare item to craft
crfv;"\gold;Vampiric Craft Infusion"
crfvDesc;Cube with a magic or rare item to craft
crfu;"\gold;Bountiful Craft Infusion"
crfuDesc;Cube with a magic or rare item to craft
crfp;"\gold;Brilliant Craft Infusion"
crfpDesc;Cube with a magic or rare item to craft
jewf;Jewel Fragments
r33;"\orange;Zod Rune"
r32;"\orange;Cham Rune"
r30;"\orange;Ber Rune"
r29;"\orange;Sur Rune"
r28;"\orange;Lo Rune"
r27;"\orange;Ohm Rune"
r26;"\orange;Vex Rune"
r25;"\orange;Gul Rune"
r24;"\orange;Ist Rune"
r23;"\orange;Mal Rune"
r22;"\orange;Um Rune"
r21;"\orange;Pul Rune"
r20;"\orange;Lem Rune"
r19;"\orange;Fal Rune"
r18;"\orange;Ko Rune"
r17;"\orange;Lum Rune"
r15;"\orange;Hel Rune"
r14;"\orange;Dol Rune"
r12;"\orange;Sol Rune"
r11;"\orange;Amn Rune"
r10;"\orange;Thul Rune"
r09;"\orange;Ort Rune"
r08;"\orange;Ral Rune"
r07;"\orange;Tal Rune"
r06;"\orange;Ith Rune"
r05;"\orange;Eth Rune"
r04;"\orange;Nef Rune"
r03;"\orange;Tir Rune"
r02;"\orange;Eld Rune"
r01;"\orange;El Rune"
LabelSetStart;(DontTranslate)==================================================
Bul-Kathos' Death Band;Bul-Kathos' Death Band
Infernal Spire;Infernal Spire
LabelUniqueStart;(DontTranslate)==================================================
EaglehornRaven;Your Ravens Deal +500 Cold Damage
Uldyssian's Awakening;Uldyssian's Awakening
Leoric's Mithril Blade;Leoric's Mithril Bane
Occultist;Occultist
Brimstone Rain;Brimstone Rain
Stalkers Cull;Stalker's Cull
Itheraels Path;Itherael's Path
Overlords Helm;Overlord's Helm
Dark Abyss;Dark Abyss
Aidans Scar;Aidan's Scar
Hadriels Hand;Hadriel's Hand
Band of Skulls;Band of Skulls
Cage of the Unsullied;Cage of the Unsullied
The Third Eye;The Third Eye
Zeraes Resolve;Zerae's Resolve
Martyr;Martyrdom
Stalkers Cull;Stalker's Cull
Akarats Devotion;Akarat's Devotion
Purgatory;Purgatory
Raekors Virtue;Raekor's Virtue
Nightmares Feast;Ursa's Nightmare
Nethercrow;Kadala's Heirloom
LabelRunewordStart;(DontTranslate)==================================================
Ferocity;Ferocity
Zenith;Zenith
Rampage;Rampage
Neophyte;Neophyte
Neophyte2;Neophyte
Wind Staff;Wind
Phoenix Staff;Phoenix
Hustle;Hustle
Runeword40;Flickering Flame
Runeword97;Pattern
Runeword171;Dominion
Shattered Wall;Shattered Wall
Asylum;Asylum
Asylum Staff;Asylum
Revenge;Revenge
LabelAffixStart;(DontTranslate)==================================================
Champion's;Champion's
Magic;Magic
Arcane;Arcane
Ancient;Ancient
Silver;Silver
Shining;Shining
Opulent;Opulent
Fast;Fast
Speedy;Speedy
Ludicrous;Ludicrous
Large;Large
Huge;Huge
Colossal;Colossal
Strong;Strong
Mighty;Mighty
Formidable;Formidable
Splashing;Splashing
Bloody;Bloody
Gory;Gory
Sanguinary;Sanguinary
Unhealthy;Unhealthy
Sickly;Sickly
Diseased;Diseased
Crushing;Crushing
Smashing;Smashing
Promoted;Promoted
Elevated;Elevated
Ascended;Ascended
Obliterating;Obliterating
Sparking;Sparking
Thunderous;Thunderous
Chilling;Chilling
Glacial;Glacial
Molten;Molten
Volcanic;Volcanic
Poisonous;Poisonous
Plagued;Plagued
Runic;Runic
Taboo;Taboo
Occult;Occult
Stygian;Stygian
Lustful;Lustful
Vampiric;Vampiric
Bovine;Bovine
Reanimated;Reanimated
Ghastly;Ghastly
GuardianOfFate;"\gold;Guardian of Fate"
Cultist's;Cultist's
Bloodthirster's;Bloodthirster's
Gorelust's;Gorelust's
Blood Letting;Blood Letting
Murderous;Murderous
Blood Sucking;Blood Sucking
Channeling;Channeling
Cold;Cold
Cinder;Cinder
Morbid;Morbid
Sparkling;Sparkling
Discharging;Discharging
Frigid;Frigid
Wildfire;Wildfire
Malicious;Malicious
Effervescent;Effervescent
Conduit;Conduit
Numbing;Numbing
Inferno;Inferno
Infectious;Infectious
Shining;Shining
Visceral;Visceral
True Silver;True Silver
Quetzalcoatl;Quetzalcoatl
Cyclopean Roar;Cyclopean Roar
Sankekur's Fall;Sankekur's Fall
Mage Slayer;Mage Slayer
Kalans Legacy;Kalan's Legacy
Tempest;Tempest
Supporting;Supporting
Reinforcing;Reinforcing
Empowering;Empowering
Bolstering;Bolstering
Fortifying;Fortifying
Devout;Devout
Plague;Plague
Cardinal;Cardinal
Penetrating;Penetrating
Puncturing;Puncturing
Piercing;Piercing
Impaling;Impaling
Embattled;Embattled
Rampaging;Rampaging
Shrieking;Shrieking
Cleaving;Cleaving
Desolating;Desolating
Virulent;Virulent
of Warding;of Warding
of Guarding;of Guarding
of Preservation;of Preservation
of Cracking;of Cracking
of Crumbling;of Crumbling
of Disintegration;of Disintegration
of Resilience;of Resilience
of Hardiness;of Hardiness
of Fortitude;of Fortitude
of Imbalance;of Imbalance
of Inequality;of Inequality
of Uneveness;of Uneveness
of Fumbling;of Fumbling
of Bumbling;of Bumbling
of Blundering;of Blundering
of Sturdiness;of Sturdiness
of Stability;of Stability
of Vigor;of Vigor
of Crimson;of Crimson
of Tangerine;of Tangerine
of Opal;of Opal
of Azure;of Azure
of Protection;of Protection
of Security;of Security
of Safety;of Safety
of Swiftness;of Swiftness
of Quickness;of Quickness
of Velocity;of Velocity
of Regeneration;of Regeneration
of Renewal;of Renewal
of Rebirth;of Rebirth
of the Leech;of the Leech
of the Parasite;of the Parasite
of the Bloodsucker;of the Bloodsucker
of Health;of Health
of Vitality;of Vitality
of Vim;of Vim
of Hindrance;of Hindrance
of Aversion;of Aversion
of Permeability;of Permeability
of the Dawn;of the Dawn
of Fireball;of Fireball
of Lightning;of Lightning
of Chain Lightning;of Chain Lightning
of Nova;of Nova
of Charged Bolt;of Charged Bolt
of Frost Nova;of Frost Nova
of Ice Barrage;of Ice Barrage
of Blades;of Blades
of Clarity;of Clarity
of Divinity;of Divinity
of the Dawn;of the Dawn
of Darkness;of Darkness
of Defending;of Defending
of Protecting;of Protecting
of Guardianship;of Guardianship
of Savagery;of Savagery
of Devastation;of Devastation
of Havoc;of Havoc
of Destruction;of Destruction
of Desolation;of Desolation
of Bleeding;of Bleeding
of Siphoning;of Siphoning
of Gory;of Gory
of Sanguinary;of Sanguinary
of Hematic;of Hematic
of Chipping;of Chipping
of Crumbling;of Crumbling
of Breaking;of Breaking
of Crushing;of Crushing
of Pulverizing;of Pulverizing
of Evisceration;of Evisceration
of Lower Resist;of Lower Resist
of Hypothermia;of Hypothermia
of Maelstrom;of Maelstrom
of Decay;of Decay
of Ashes;of Ashes
LabelMapModsStart;(DontTranslate)==================================================
MapPlayHave;Players have
MapMonHave;Monsters have
MapGlobHas;Map has
MapGlobLevel;to Area Level
MapGlobDensity;"\grey;Monster Density:\blue;"
MapGlobMonRarity;"\grey;Monster Rarity:\blue;"
MapMonVelocity;increased Velocity
MapMonCurse;Curse Duration Reduction
MapGlobMF;"\grey;Magic Find:\blue;"
MapGlobExp;"\grey;Experience:\blue;"
MapGlobGF;"\grey;Gold Find:\blue;"
MapGlobMFGF;"\grey;Magic and Gold Find:\blue;"
MapMon;Monster's
MapMonSplash;Melee Attacks Deal Splash Damage
MapEnhancedDmg;Enhanced Physical Damage
MapMonTake;Monsters take
MapPlayAllRes;to All Resistances
MapPlayBlock;Chance to Block
MapFlatPhysRed;Reduced Physical Damage
MapAtkCastRate;Increased Cast and Attack Speed
MapMaxHP;Increased Maximum Life
MapPierceAR;Attack Rating and Chance to Pierce
MapPhysExtraLtng;of Physical Damage as Extra Lightning Damage
MapPhysExtraCold;of Physical Damage as Extra Cold Damage
MapPhysExtraFire;of Physical Damage as Extra Fire Damage
MapPhysExtraPois;of Physical Damage as Extra Poison Damage over 5 Seconds
MapPhysExtraMag;of Physical Damage as Extra Magic Damage
MapAddMonDoll;Map contains Stygian Dolls
MapAddMonSucc;Map contains Succubus Witches
MapAddMonVamp;Map contains Vampire Lords
MapAddMonCow;Map contains Hell Bovines
MapAddMonHorde;Map contains Reanimated Horde
MapAddMonGhost;Map contains Ghosts
MapMonIgnore;Monsters ignore
MapMonFirePierce;of Enemy Fire Resistance
MapMonLtngPierce;of Enemy Lightning Resistance
MapMonColdPierce;of Enemy Cold Resistance
MapMonPoisPierce;of Enemy Poison Resistance
MapAtkCastSpeed;Attack and Cast Speed
MapAddMonSouls;Map contains Burning Souls
MapAddMonFetish;Map contains Fetishes
MapGlobSkirmishMode;"\orange;Fortified\white;"
MapMonIncreasedJewelry;chance of dropping additional jewelry and charms
MapMonIncreasedWeapons;chance of dropping additional weapons
MapMonIncreasedArmor;chance of dropping additional armor
MapMonIncreasedCrafting;chance of dropping additional crafting materials
MapGlobExtraBoss;Map contains an additional boss
MapPlayMaxAllRes;to All Maximum Resistances
MapAddMonShriek;Map contains Shrieking Terrors
MapMonIncreasedCharms;chance of dropping additional charms
MapMonIncreasedCorrupted;chance of dropping corrupted items
MapBossSkillers;Map boss drops a skill charm
MapBossCorruptedUnique;Map boss drops a corrupted unique
MapBossFacet;Map boss drops a Rainbow Facet
MapMonIncreasedJewels;chance of dropping additional jewels
StrMapLightRadius;reduced light radius
LabelMapStart;(DontTranslate)==================================================
MapTier;Tier:
t11;Ruins of Viz-Jun Map
t12;Horazon's Memory Map
t13;Bastion Keep Map
t14;Sanatorium Map
t15;Royal Crypts Map
t16;Ruined Cistern Map
t21;Phlegethon Map
t22;Torajan Jungle Map
t23;Arreat Battlefield Map
t24;Tomb of Zoltun Kulle Map
t25;Sewers of Harrogath Map
t26;Shadows of Westmarch Map
t31;River of Blood Map
t32;Throne of Insanity Map
t33;Lost Temple Map
t34;Ancestral Trial Map
t35;Blood Moon Map
t36;Fall of Caldeum Map
t37;Pandemonium Citadel Map
t37;Pandemonium Citadel Map
t38;Canyon of Sescheron Map
t39;Kehjistan Marketplace Map
t3a;Ashen Plains Map
t41;Cathedral of Light Map
t42;Plains of Torment Map
t43;Sanctuary of Sin Map
t44;Steppes of Daken-Shar Map
t51;Map
t52;Map
t53;Map
t61;Desert Duel Arena
t62;Moor Duel Arena
Kurast;Ruins of Viz-Jun
ArcaneMap;Horazon's Memory
Fortress Map;Bastion Keep
LibraryMap;The Sanatorium
CryptsMap;Royal Crypts
Ruined Cistern;The Ruined Cistern
Lava;Phlegethon
Jungle Map;Torajan Jungle
Siege Map;Arreat Battlefield
Tomb Map;Tomb of Zoltun Kulle
Sewers;Sewers of Harrogath
WestmarchMap;Shadows of Westmarch
River Of Blood;River Of Blood
Throne Map;Throne of Insanity
Lost Temple;The Lost Temple
Ice Map;Ancestral Trial
Graveyard Map;Blood Moon
Fall of Caldeum Map;Fall of Caldeum
Fall of Caldeum;The Fall of Caldeum
Pandemonium Citadel;The Pandemonium Citadel
Canyon Map;The Canyon of Sescheron
Desert Map;Kehjistan Marketplace
Ashen Plains;The Ashen Plains
Monastery Map Basement;Cathedral Basement
Monastery Map;Cathedral of Light
To The Cathedral Basement;To The Cathedral Basement
Mesa;Plains of Torment
Torment Map;The Plains Of Torment
To The Plains Of Torment;To The Plains Of Torment
SanctuaryOfSinMap;Sanctuary of Sin
To SanctuaryOfSinMap;To Sanctuary of Sin
KanemithMap;Steppes of Daken-Shar
ToKanemithOutside;To The Steppes of Daken-Shar
KanemithOutside;Steppes of Daken-Shar
ToKanemithDungeon;To The Tombs of Kanemith
KanemithDungeon;The Tombs of Kanemith
Pvp Map;Desert Duel Arena
Pvp Map 2;Moor Duel Arena
pvp healer;pvp healer
RathmaMap1;Decaying Swamplands
RathmaMap2;Ruins of Necropolis
RathmaMap3;The Void
Rathma Map;The Void
BlackAbyssMap;Black Abyss
To BlackAbyssMap;To Black Abyss
ToZharKurastMap;To Counselor's Causeway
ZharKurastMap;Counselor's Causeway
ToZharIceMap;To Colonnades of Madness
ZharIceMap;Colonnades of Madness
ToZharRiversMap;To the Hidden Waterways
ZharRiversMap;Hidden Waterways
ToZharLibraryMap;To Zhar's Sanctum
ZharLibraryMap;Zhar's Sanctum
Zhar the Mad Map;Zhar's Sanctum
zharportal_blue;Portal
zharportal_red;Inner Sanctum
ToHellcavesMap;To the Stygian Caverns
HellcavesMap;Stygian Caverns
ToHellcavesFortressMap;To Stronghold of Acheron
HellcavesFortressMap;Stronghold of Acheron
ToVoidEventMap;To Outer Void
VoidEventMap;Outer Void
Warlord of Blood Map;Warlord of Blood
WarlordOfBlood;"\gold;Warlord of Blood"
ToA4DepthsMap;To the Forgotten Depths
A4DepthsMap;Forgotten Depths
ToFallenGardensMap;To the Fallen Gardens
FallenGardensMap;The Fallen Gardens
Fallen Gardens Map;Fallen Gardens
ToDiamondGateMap;To the Diamond Gate
DiamondGateMap;The Diamond Gate
Hole Map;The Pit Of Despair
Hole of Terror;Pit Of Despair
To The Pit Of Despair;To The Pit Of Despair
Palace;Horadrim Tower
MapEventButcher;"\gold;The Butcher"
MapEventButcherDesc;Invulnerable. Increases nearby Gold and Magic Find.
TaintedSunMapEventAltar;Spire of Darkness
ForceShardAltar;Altar of the Catalyst
StrForceMapEvent;Map contains a random event
LabelMonsterStart;(DontTranslate)==================================================
SummonerMap;Horazon
ArcaneBoss;"\gold;Deathmaiden Madinsane"
BastionBoss;"\gold;Johnathan The Damned"
CowBoss;"\gold;The Cow Queen"
IceBoss;"\gold;Nathkill The Numb"
TombBoss;"\gold;Toadflax the Tainted"
SewerBoss;"\gold;The Mad Philosopher"
SiegeBoss;"\gold;Armorsmith Equality"
ThroneBoss;"\gold;Indio The Insane"
torajanBoss;"\gold;The Great Worm"
Wisp Boss;"\gold;Canight The Corrupted"
Megademon Boss;"\gold;Lieutenant of Sin"
Fingermage Boss;"\gold;The Synthetic One"
immune minion;Immune while Boss is Alive
Unraveler Boss;"\gold;Karvarousku the Cartographer"
StrAvunaos;"\gold;Avunaos the Rotten"
StrBelial;"\gold;Belial Lord of Lies"
act2hireTraitorBoss;"\gold;Waheed The Traitor"
PandemoniumBoss;"\gold;Dark Commander Alma"
spiderboss;"\gold;Khalim's Corrupted Body"
CanyonBoss;"\gold;Shattered Soul"
MarketBoss;"\gold;Overlord Aerlynn"
DevilkinSlave;"\gold;Devilkin Slave"
LibraryBoss;"\gold;The Guardian"
LeoricBoss;"\gold;King Leoric"
LeoricGuards;Decaying Guard
WestmarchBoss;"\gold;Urzael Harbringer of Death"
SiegebeastMapBoss;"\gold;The Stygian Beast"
SiegebeastMapBossFallen;Stygian Horde
ZharMiniBossBigHead;"\gold;Ztaziz the Fragile"
ZharMiniBossBaboon;"\gold;Infernal Alien"
ZharMiniBossCantor;"\gold;Efreet Sajber"
WarlordOfBloodMiniBoss;"\gold;Onion the Accused"
DamnedCavesMiniBoss;"\gold;Cory the Imp"
CisternBoss;"\gold;Ancient Cistern Hydra"
AshenBoss;"\gold;Borq the Consumed"
KanemithBoss;"\gold;Naz the Cursed King"
RadamentBoss;"\gold;Elmegaard the Unholy"
SharpToothBoss;"\gold;Skullsplitter Cyrus"
SharpToothMinion;Anburian Slayer
uberdiablonew;"\gold;Diablo"
Wisp Minion1;"\gold;Madness"
Wisp Minion2;"\gold;Hysteria"
Rathma;"\gold;Rathma"
Mendeln;"\gold;Mendeln"
RathmaVoidGolem;Void Walker
RathmaBloodGolem;Sanguine Bearer
RathmaTotem;Conjured Soul
BonePrison;Bone Prison
VoidBeast;Nightmare
Voidling;Voidling
VoidWatcher;Dream Eater
VoidFrog;Abhorrent
ShadowRathma;Shadow of Mendeln
VoidKnight;Void Knight
MendelnSpire;Ancient Spire
TreasureFallen;"\gold;Treasure Fallen"
UberAncientStatue1;"\gold;Talic the Abjuror"
UberAncientStatue2;"\gold;Madawc the Mad"
UberAncientStatue3;"\gold;Korlic the Stalker"
UberAncientAltar;Altar of the Damned
UberAncient1;"\gold;Talic"
UberAncient2;"\gold;Madawc"
UberAncient3;"\gold;Korlic"
ShadowOfHate;"\orange;Shadow of Hate"
ShadowOfTerror;"\orange;Shadow of Terror"
ShadowOfDestruction;"\orange;Shadow of Destruction"
ShriekingTerror;Shrieking Terror
BloodRavenZombie;Revived Dead
TargetDummy;Target Dummy
Iskatu;"\gold;Iskatu"
IskatuVermin;"\gold;Shadow Vermin"
Rakanoth;"\gold;Rakanoth"
DemonPillar;Demonic Sentinel
ZharTheMad;"\gold;Zhar The Mad"
ZharTomeObject;Tome of Insanity
LabelMercStart;(DontTranslate)==================================================
MercX401;Anarel
MercX402;Beradon
MercX403;Erelune
MercX404;Halleborn
MercX405;Magoul
MercX406;Vanoxet
MercX407;Anuliath
MercX408;Nys
MercX409;Vextis
MercX410;Aburaxen
MercX411;Moradan
MercX412;Balamir
MercX413;Zarekoth
MercX414;Nethysia
MercX415;Maraxion
MercX416;Raumeth
MercX417;Aamoneth
MercX418;Xaphanis
MercX419;Tenebrisia
MercX420;Malphasus
MercDescfarw;Fire Arrow (Vigor)
MercDesccarw;Cold Arrow (Meditation)
MercDescparw;Physical Arrow (Slow Movement)
MercDescdef ;Defensive (Defiance)
MercDescoff ;Offensive (Blessed Aim)
MercDesccomb;Combat (Thorns)
MercDescfire;Fire (Cleansing)
MercDesccold;Cold (Prayer)
MercDescltng;Lightning (Holy Shock)
MercDescascd;Ascendant (Dark)
MercDescascl;Ascendant (Light)
MercDescmght;Concentrate (Might)
MercDescfrnz;Frenzy (Battle Cry)
MercDescwwnd;Whirlwind (Battle Orders)
LabelUnusedStart;(DontTranslate)==================================================
DcloneClout;Top Three Diablo Clone Killer (Class Specific)
MaxlevelClout;Top Three To Reach Level 99 (Class Specific)
DevClout;Untold Power Is Contained Within
RathmaClout;Top Three Rathma Killer (Class Specific)
Dclone Clout;of Clout
Maxlevel Clout;of Clout
Dclone Trophy;Diablo Clone Trophy Season 4 Enlightenment
Maxlevel Trophy;Level 99 Trophy Season 4 Enlightenment
Rathma Trophy;Rathma Trophy Season 4 Enlightenment
Dev Charm;Developers Bag Of Tricks
skill charm;skills
exp charm;exp charm
